month,daynight,count,total,proportion
2019-06,D,15537,17038,0.9119
2019-06,N,1501,17038,0.0881
2019-07,D,18570,20491,0.9063
2019-07,N,1921,20491,0.0937
2019-08,D,12424,15033,0.8264
2019-08,N,2609,15033,0.1736
2019-09,D,14197,18250,0.7779
2019-09,N,4053,18250,0.2221
2019-10,N,6842,26986,0.2535
2019-10,D,20144,26986,0.7465
2019-11,D,28140,43498,0.6469
2019-11,N,15358,43498,0.3531
2019-12,D,46008,75919,0.606
2019-12,N,29911,75919,0.394
2020-01,D,20214,34090,0.593
2020-01,N,13876,34090,0.407
2020-02,D,4221,6268,0.6734
2020-02,N,2047,6268,0.3266
2020-03,D,3196,3758,0.8505
2020-03,N,562,3758,0.1495
