latitude,longitude,acq_date,brightness,frp,confidence
-37.3659,147.9691,2019-12-07,316.8,15.5,38
-30.9281,152.6986,2019-11-12,408.1,293.8,100
-13.125,132.6968,2019-10-08,340.5,17.7,55
-14.2364,143.5798,2019-10-04,345.0,53.4,91
-16.4124,136.4907,2019-09-05,339.7,65.5,85
-15.7563,144.3911,2019-10-12,335.0,63.7,71
-14.4937,131.3154,2019-11-06,312.9,9.3,57
-35.5814,150.0412,2019-12-20,301.5,7.6,30
-33.963,119.7783,2019-06-22,304.4,8.5,31
-17.496,122.3066,2019-12-02,309.4,7.0,75
-31.0122,151.9151,2019-11-14,354.2,71.9,96
-30.8785,132.7817,2020-01-02,343.3,47.5,84
-33.4047,150.2095,2019-12-17,331.7,24.0,60
-33.335,150.4449,2019-12-04,325.2,33.2,100
-30.6476,152.1443,2019-12-07,439.1,592.1,100
-26.1623,146.5406,2019-11-21,328.4,29.5,45
-27.9281,152.3207,2019-09-22,328.8,29.8,100
-15.2239,143.876,2019-12-01,348.2,63.8,92
-13.2075,134.3321,2019-10-20,366.5,306.8,100
-12.6345,134.1744,2019-10-17,344.0,29.2,69
-28.6347,127.8459,2019-11-06,347.0,244.0,90
-37.6891,148.6623,2020-01-02,321.5,19.8,85
-32.9702,149.9309,2019-12-25,319.7,17.6,99
-11.5555,130.6275,2019-07-15,324.7,21.0,78
-34.1737,150.3368,2019-12-06,358.5,340.0,99
-12.1698,132.8745,2019-09-12,328.9,34.9,56
-12.3126,132.2853,2019-10-11,323.2,37.4,42
-26.7429,130.6185,2019-10-24,320.6,27.7,77
-30.3567,151.0169,2019-12-17,343.9,34.6,89
-12.3442,133.2891,2019-06-27,343.9,42.2,91
-31.6322,147.0546,2019-10-14,328.3,9.1,61
-32.619,122.0145,2020-01-06,333.9,19.2,67
-35.6715,149.0482,2020-02-03,342.3,44.2,89
-22.6096,150.314,2019-11-29,331.2,17.4,68
-32.9061,124.2823,2020-01-31,362.2,102.9,100
-35.3113,150.3045,2019-12-19,358.9,79.3,99
-13.5112,135.5742,2019-12-12,309.6,7.7,34
-32.7747,150.3034,2019-12-12,330.8,21.3,69
-35.2298,149.9613,2020-01-04,430.8,498.3,100
-33.4903,150.5239,2019-12-10,349.6,72.8,94
-17.9366,123.4407,2020-03-26,307.8,25.9,70
-37.1396,149.1021,2020-02-04,328.0,36.4,100
-31.4209,123.8366,2019-10-28,344.8,112.2,90
-32.6562,123.3997,2020-01-28,342.7,66.0,100
-37.7,148.7603,2020-01-14,319.6,53.3,99
-15.343,130.8204,2019-08-07,359.4,166.8,99
-24.0491,149.0442,2019-10-12,327.7,28.6,100
-29.572,152.8257,2019-08-10,337.0,37.3,88
-12.777,132.7804,2019-08-12,343.3,55.3,90
-15.0121,130.3755,2019-07-21,342.0,101.2,91
-32.5762,150.3236,2019-12-01,314.1,97.8,84
-16.6613,124.5312,2019-11-20,345.4,29.0,81
-35.8956,147.5866,2020-01-01,347.1,165.0,91
-22.1171,116.5362,2019-10-25,354.3,92.7,66
-35.403,148.1089,2020-01-04,342.2,21.6,74
-28.2501,147.503,2019-06-06,302.3,4.0,50
-30.973,152.4999,2019-11-12,317.3,45.8,79
-36.5218,149.56,2019-12-30,370.2,146.2,100
-30.6816,116.4298,2020-03-23,345.6,40.9,92
